school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,positive,weights
GP,F,18.0,U,GT3,A,4.0,4.0,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,4,0.0,11.0,11.0,True,0.0026109660574412533
GP,F,17.0,U,GT3,T,1.0,1.0,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,2,9.0,11.0,11.0,True,0.0026109660574412533
GP,F,15.0,U,LE3,T,1.0,1.0,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,6,12.0,13.0,12.0,True,0.0026109660574412533
GP,F,15.0,U,GT3,T,4.0,2.0,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,14.0,14.0,14.0,True,0.0026109660574412533
GP,F,16.0,U,GT3,T,3.0,3.0,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0,11.0,13.0,13.0,True,0.0026109660574412533
GP,M,16.0,U,LE3,T,4.0,3.0,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,6,12.0,12.0,13.0,True,0.0037593984962406013
GP,M,16.0,U,LE3,T,2.0,2.0,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,13.0,12.0,13.0,True,0.0037593984962406013
GP,F,17.0,U,GT3,A,4.0,4.0,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,2,10.0,13.0,13.0,True,0.0026109660574412533
GP,M,15.0,U,LE3,A,3.0,2.0,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,0,15.0,16.0,17.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,3.0,4.0,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,12.0,12.0,13.0,True,0.0037593984962406013
GP,F,15.0,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,2,14.0,14.0,14.0,True,0.0026109660574412533
GP,F,15.0,U,GT3,T,2.0,1.0,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,10.0,12.0,13.0,True,0.0026109660574412533
GP,M,15.0,U,LE3,T,4.0,4.0,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0,12.0,13.0,12.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12.0,12.0,13.0,True,0.0037593984962406013
GP,M,15.0,U,GT3,A,2.0,2.0,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14.0,14.0,15.0,True,0.0037593984962406013
GP,F,16.0,U,GT3,T,4.0,4.0,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,6,17.0,17.0,17.0,True,0.0026109660574412533
GP,F,16.0,U,GT3,T,4.0,4.0,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,10,13.0,13.0,14.0,True,0.0026109660574412533
GP,F,16.0,U,GT3,T,3.0,3.0,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2,13.0,14.0,14.0,True,0.0026109660574412533
GP,M,17.0,U,GT3,T,3.0,2.0,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8.0,8.0,7.0,False,0.0037593984962406013
